SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Same Specials,ADL Suppliers,MEL Suppliers
5179283P,Coles,Raspberry Flavoured Drink,Summer Entertaining,1.0,0.75,0.25,1.25L,1.25L,,,True,"['733709 CARLTON & UNITED BREWERIES', '965174 TRU BLU BE', '806063 P & N BEVE', '933172 P & N BEVE']","['733709 CARLTON & UNITED BREWERIES', '965174 TRU BLU BE', '806063 P & N BEVE', '933172 P & N BEVE']"
9391574P,Schweppes,Solo Lemon Multipack Cans 375mL,Summer Entertaining,14.15,10.5,3.6500000000000004,24 pack,24 pack,$pecials,$pecials,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
4583206P,Coles,Purple Eggplant,Summer Entertaining,3.45,2.45,1.0,1 each,1 each,,,True,"['933347 COSTAS (TASMANIA)', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)', '97446 CARTER & SPENCER GROUP P/L', ""635235 COSTA'S P/L (VIC DC)"", '414760 ST GEORGE PROD PTY LTD']","['933347 COSTAS (TASMANIA)', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)', '97446 CARTER & SPENCER GROUP P/L', ""635235 COSTA'S P/L (VIC DC)"", '414760 ST GEORGE PROD PTY LTD']"
9446337P,Lipton,Lemon Ice Tea,Drinks,1.9,1.75,0.1499999999999999,500mL,500mL,$pecials,$pecials,True,"['421901 UNILEVER A/ASIA FOODS', '44059 ASAHI BEVERAGES PTY LTD']","['421901 UNILEVER A/ASIA FOODS', '44059 ASAHI BEVERAGES PTY LTD']"
3531150P,Sunkist,Zero Sugar Soft Drink 375mL,Drinks,12.3,11.05,1.25,10 pack,10 pack,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
3490482P,Coles,Sparkling Italian Mineral Water,Drinks,1.8,1.7,0.10000000000000009,1.5L,1.5L,,,True,"['974165 BARLETTA INTERNATIONAL P/L', '975922 BARLETTA INT (CB)']","['974165 BARLETTA INTERNATIONAL P/L', '975922 BARLETTA INT (CB)']"
3048284P,Mount Franklin,Lime Flavoured Lightly Sparkling Water Can 250mL,Drinks,4.9,4.5,0.40000000000000036,4 pack,4 pack,,,True,['931859 COCA COLA AMATIL AUST P/L (GHPL)'],['931859 COCA COLA AMATIL AUST P/L (GHPL)']
6344487P,Lipton,Mango Ice Tea,Summer Entertaining,3.95,3.8,0.15000000000000036,1.5L,1.5L,,,True,"['44059 ASAHI BEVERAGES PTY LTD', '421901 UNILEVER A/ASIA FOODS']","['44059 ASAHI BEVERAGES PTY LTD', '421901 UNILEVER A/ASIA FOODS']"
5080798P,Schweppes,7Up Lemonade,Drinks,2.3,2.2,0.09999999999999964,1.25L,1.25L,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
2994710P,Fuze,Lemon Black Ice Tea,Drinks,1.75,1.6,0.1499999999999999,1.25L,1.25L,$pecials,$pecials,True,"['931859 COCA COLA AMATIL AUST P/L (GHPL)', '931858 COCA COLA AMATIL AUST P/L (DIREC']","['931859 COCA COLA AMATIL AUST P/L (GHPL)', '931858 COCA COLA AMATIL AUST P/L (DIREC']"
