SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Specials Comp,ADL Suppliers,MEL Suppliers
3519722P,KOi,Mandarin Lemon & Grapefruit Bath Salts,Health & Beauty,7.0,7.0,0.0,500g,500g,$pecials,$pecials,True,"['939013 COLES SUPERMARKETS P/L', '976000 TILLEY SOAPS AUSTRALIA P/L (CB)']","['939013 COLES SUPERMARKETS P/L', '976000 TILLEY SOAPS AUSTRALIA P/L (CB)']"
3247553P,Pears,Hand Wash Pump,Health & Beauty,3.5,3.5,0.0,250mL,250mL,,,True,"['976657 THE BB PARTNERSHIP PTY LTD', '940365 PENTAL PRODUCTS P/L']","['976657 THE BB PARTNERSHIP PTY LTD', '940365 PENTAL PRODUCTS P/L']"
3227206P,Nivea,Coconut Indulgent Moisture Shower Gel and Body Wash,Health & Beauty,9.55,9.55,0.0,1L,1L,$pecials,$pecials,True,['936507 BEIERSDORF AUST LTD'],['936507 BEIERSDORF AUST LTD']
2292858P,Coles,Antibacterial Lime Fresh Hand Wash,Health & Beauty,1.5,1.5,0.0,250mL,250mL,,,True,['21351 TRENDPAC HOUSEBRAND'],['21351 TRENDPAC HOUSEBRAND']
2747142P,Coles,Recycled Toilet Tissue,Household,5.5,5.5,0.0,12 pack,12 pack,,,True,"['974092 ENCORE TISSUE', '972421 ENCORE TISSUE (AUST) PTY LTD(CB)']","['974092 ENCORE TISSUE', '972421 ENCORE TISSUE (AUST) PTY LTD(CB)']"
8392946P,Continental,Vegetable Stock Pot,Pantry,3.5,3.5,0.0,112g,112g,,,True,['421901 UNILEVER A/ASIA FOODS'],['421901 UNILEVER A/ASIA FOODS']
9104956P,Purr,Succulent Red Snapper & Tuna In Gravy Cat Food,Pet,1.0,1.0,0.0,85g,85g,,,True,"['962608 UNICORD PUBLIC CO LTD', '953374 ISA VALUE CO LTD', '972649 SAFCOL AUSTRALIA PTY LTD (CB)', '145823 OVERSEAS SUPPLIER']","['962608 UNICORD PUBLIC CO LTD', '953374 ISA VALUE CO LTD', '972649 SAFCOL AUSTRALIA PTY LTD (CB)', '145823 OVERSEAS SUPPLIER']"
3796960P,Masterfoods,Vegetable Smokey Seasoning,Pantry,1.5,1.5,0.0,20g,20g,$pecials,$pecials,True,['30791 MARS AUST GROCERY ACCOUNT'],['30791 MARS AUST GROCERY ACCOUNT']
8604658P,Aussie Bodies,HPLC Chocolate Protein Bar,Pantry,4.0,4.0,0.0,100g,100g,$pecials,$pecials,True,['929075 VITACO HEALTH AUSTRALIA P/L'],['929075 VITACO HEALTH AUSTRALIA P/L']
1171530P,Yaru,Sparkling Spring Water,Back to School,1.6,1.5,0.10000000000000009,500mL,500mL,,,True,"['967732 YARU P/L', '975459 YARU AUSTRALIA PTY LTD']","['967732 YARU P/L', '975459 YARU AUSTRALIA PTY LTD']"
3515299P,Flora,Margarine Spread Buttery,"Dairy, Eggs & Meals",3.5,3.5,0.0,1kg,1kg,$pecials,$pecials,True,"['645273 UNILEVER A/ASIA FOODS', '976653 UPFIELD AUSTRALIA (SALES) PTY LT']","['645273 UNILEVER A/ASIA FOODS', '976653 UPFIELD AUSTRALIA (SALES) PTY LT']"
6835263P,Pure Blonde,Can 375mL,Liquor,50.0,48.0,2.0,24 Pack,24 Pack,$pecials,$pecials,True,['9393 CUB P/L'],['9393 CUB P/L']
9373073P,Aeroplane,Lite Pineapple Jelly Crystals 2 pack,Pantry,1.9,1.9,0.0,18g,18g,,,True,['32590 MCCORMICK FOODS AUST P/L'],['32590 MCCORMICK FOODS AUST P/L']
8556985P,L'Oreal,Colour Riche Lipstick Blush Plum 255,Health & Beauty,22.0,22.0,0.0,3.3g,3.3g,,,True,"[""952096 L'OREAL AUST P/L (X-DOCK)""]","[""952096 L'OREAL AUST P/L (X-DOCK)""]"
1253170P,Somersby,Pear Cider Bottle 330mL,Liquor,21.5,21.0,0.5,6 Pack,6 Pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
1472231P,Coles,Tasty Cheddar Cheese Slices 12 pack,Back to School,4.4,4.4,0.0,250g,250g,,,True,"['965764 BEGA CHEESE LTD (SBU) (HOUSEBRAN', '974876 SAPUTO DAIRY AUSTRALIA (SDA)', '953572 MURRAY GOULBURN CO-OPERATIVE CO', '965630 BEGA CHEESE LTD (HOUSEBRAND)']","['965764 BEGA CHEESE LTD (SBU) (HOUSEBRAN', '974876 SAPUTO DAIRY AUSTRALIA (SDA)', '953572 MURRAY GOULBURN CO-OPERATIVE CO', '965630 BEGA CHEESE LTD (HOUSEBRAND)']"
3529781P,Coles,Crunchy Hazelnut Spread,Pantry,2.5,2.5,0.0,400g,400g,,,True,['964746 NUTKAO SRL'],['964746 NUTKAO SRL']
8326781P,Nature's Organics,Frequent Use Wild Berry Conditioner,Health & Beauty,1.9,1.9,0.0,500mL,500mL,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
3754020P,Patak's,Tandoori Simmer Sauce,Pantry,3.5,3.5,0.0,450g,450g,$pecials,$pecials,True,['962410 AB WORLD FOODS P/L'],['962410 AB WORLD FOODS P/L']
3146647P,Cook & Dine,Plastic Round Bowls,Summer Entertaining,2.2,2.2,0.0,4 pack,4 pack,,,True,"['973755 DATS PTY LTD (COLESBRAND)', '975760 GLOBALEYES DISTRIBUTION PTY LTD']","['973755 DATS PTY LTD (COLESBRAND)', '975760 GLOBALEYES DISTRIBUTION PTY LTD']"
3251415P,Farmers Union,Greek Style Strawberry Yoghurt Pouch,"Dairy, Eggs & Meals",1.5,1.5,0.0,130g,130g,$pecials,$pecials,True,"['665282 LD & D AUST P/L', '665231 LD & D AUST P/L']","['665282 LD & D AUST P/L', '665231 LD & D AUST P/L']"
3789170P,Uncle Toby's,Breakfast Vanilla Oat Bakes,Pantry,3.0,3.0,0.0,260g,260g,$pecials,$pecials,True,['603481 NESTLE AUST LTD (UNCLE TOBYS)'],['603481 NESTLE AUST LTD (UNCLE TOBYS)']
2237226P,Twinings,English Breakfast Decaffeinated Tea Bags,Pantry,7.0,7.0,0.0,40 pack,40 pack,,,True,['941157 TWININGS & CO'],['941157 TWININGS & CO']
